Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
i3,2012,South America,Black,Diesel,Automatic,3.0,43311,71884,1327,Low
X1,2021,Middle East,Silver,Diesel,Automatic,2.7,23613,71055,6790,Low
X5,2021,South America,Blue,Diesel,Manual,4.3,114154,66604,438,Low
3 Series,2019,South America,Blue,Electric,Automatic,2.9,68314,102257,4324,Low
3 Series,2022,Europe,Silver,Hybrid,Manual,4.3,94347,53263,4308,Low
i8,2010,Europe,Grey,Hybrid,Manual,3.3,107295,76584,7998,High
X5,2013,Middle East,Blue,Diesel,Automatic,1.7,170536,93484,3386,Low
X6,2019,South America,Silver,Diesel,Automatic,2.8,26014,44925,2116,Low
i3,2021,South America,Red,Hybrid,Automatic,3.8,78022,52168,9716,High
X1,2019,Asia,Blue,Electric,Manual,1.9,25178,109083,3071,Low
5 Series,2019,South America,Red,Electric,Automatic,1.7,168215,63188,8682,High
i8,2024,Asia,White,Diesel,Automatic,2.6,195630,108017,9346,High
X3,2013,Middle East,Red,Hybrid,Manual,4.9,99941,96476,7116,High
X5,2019,Europe,Silver,Electric,Automatic,4.2,52896,112242,6139,Low
X6,2011,Europe,Blue,Hybrid,Manual,4.7,153636,77215,4492,Low
X3,2013,Middle East,Red,Petrol,Automatic,2.9,83455,92732,2032,Low
3 Series,2018,Europe,Silver,Hybrid,Manual,5.0,146453,87125,8114,High
X3,2013,Europe,Red,Diesel,Manual,3.6,28625,97307,1414,Low
i8,2023,South America,Black,Electric,Manual,3.4,38105,104168,9361,High
X1,2014,Europe,Blue,Petrol,Automatic,3.6,67463,38703,889,Low
X6,2017,South America,Blue,Electric,Manual,3.7,165543,41542,3706,Low
X1,2013,South America,Red,Diesel,Manual,3.4,48270,108898,9722,High
i8,2014,Asia,Grey,Diesel,Manual,3.9,6024,86094,443,Low
M5,2020,Middle East,Black,Diesel,Automatic,4.2,184785,34972,7867,High
5 Series,2019,Europe,Grey,Electric,Manual,1.5,44934,117922,3480,Low
7 Series,2019,North America,Black,Electric,Automatic,3.1,6082,104414,6867,Low
X3,2012,Asia,Grey,Diesel,Automatic,4.5,26112,53379,1832,Low
M5,2021,Europe,Red,Petrol,Manual,4.4,4862,94668,8378,High
5 Series,2016,Europe,White,Hybrid,Automatic,1.7,82403,68074,8513,High
X1,2017,Middle East,White,Hybrid,Manual,3.4,210,59058,1739,Low
i8,2023,Middle East,Blue,Diesel,Manual,3.6,103413,61949,2175,Low
7 Series,2022,Middle East,Black,Electric,Automatic,2.9,41245,95922,9211,High
3 Series,2022,Europe,Grey,Electric,Automatic,4.8,38076,53398,3579,Low
X6,2017,South America,Red,Diesel,Manual,3.3,68071,99098,3136,Low
X3,2018,South America,Blue,Petrol,Manual,4.7,108410,106746,2783,Low
M5,2019,Asia,Black,Diesel,Manual,2.7,25335,108928,8884,High
7 Series,2024,Middle East,Silver,Diesel,Manual,3.3,126765,65636,2166,Low
M5,2023,Europe,Silver,Diesel,Manual,1.8,68205,114114,2335,Low
X1,2021,North America,Black,Petrol,Manual,3.6,190680,106459,2658,Low
X6,2012,Middle East,Blue,Diesel,Automatic,2.0,155057,32239,5906,Low
5 Series,2017,Asia,Red,Hybrid,Automatic,2.8,123880,44006,6597,Low
i8,2017,Africa,White,Petrol,Manual,3.2,36243,50424,923,Low
X5,2011,Asia,Red,Petrol,Manual,4.5,41449,61140,8579,High
3 Series,2014,South America,White,Diesel,Automatic,4.6,35372,91803,7406,High
3 Series,2015,Europe,Blue,Diesel,Automatic,2.6,119025,34546,9151,High
M3,2014,Europe,Grey,Diesel,Manual,4.7,150277,81958,2478,Low
X3,2011,Middle East,Silver,Electric,Manual,1.9,157187,66636,7919,High
5 Series,2012,Middle East,Black,Petrol,Manual,2.8,97047,69061,4691,Low
i3,2020,Middle East,Black,Electric,Manual,4.9,161333,59788,9775,High
X3,2021,Europe,Silver,Electric,Manual,1.8,70102,90068,8486,High
X1,2022,South America,Red,Hybrid,Automatic,2.1,116255,60197,4215,Low
X1,2022,Asia,Red,Hybrid,Manual,3.8,91370,78495,9772,High
X3,2010,Europe,Blue,Diesel,Automatic,4.6,86833,80026,213,Low
X5,2018,Europe,Red,Electric,Automatic,4.9,139262,93197,9619,High
5 Series,2012,Middle East,Blue,Petrol,Automatic,3.8,28691,37300,4976,Low
X5,2011,North America,Grey,Diesel,Automatic,2.1,188804,100312,2029,Low
i3,2017,Asia,Silver,Diesel,Automatic,4.9,18561,90174,6181,Low
M5,2017,Asia,Grey,Hybrid,Automatic,1.8,44575,48130,3292,Low
7 Series,2011,Middle East,Black,Hybrid,Manual,4.1,5242,50317,5129,Low
7 Series,2022,Middle East,Black,Petrol,Manual,1.8,55480,87361,7516,High
M5,2024,Middle East,Black,Electric,Automatic,2.0,6521,104658,3491,Low
7 Series,2021,Africa,Black,Hybrid,Automatic,3.1,29581,72726,9469,High
X1,2023,Africa,Red,Electric,Automatic,3.3,6320,63428,9172,High
X1,2022,Asia,Blue,Electric,Manual,1.5,16082,55992,3234,Low
X3,2023,Asia,Red,Petrol,Manual,4.9,115576,37160,7587,High
7 Series,2023,Middle East,Blue,Diesel,Automatic,2.4,56566,75003,3328,Low
M5,2013,Asia,Silver,Electric,Manual,3.4,57871,73250,740,Low
M5,2015,South America,Red,Hybrid,Manual,4.1,6318,68291,9590,High
X1,2023,South America,Red,Electric,Automatic,2.5,91220,51804,4142,Low
M5,2017,Middle East,Blue,Hybrid,Manual,2.1,98677,106713,6663,Low
X6,2013,Asia,Black,Electric,Manual,4.3,156900,68991,2190,Low
i3,2021,Africa,Black,Electric,Automatic,3.2,82151,53038,6510,Low
i8,2013,Middle East,Black,Hybrid,Automatic,4.5,68628,93423,7578,High
X6,2023,Middle East,Grey,Petrol,Automatic,4.2,199130,86654,7414,High
i3,2018,Europe,Grey,Petrol,Manual,3.5,43351,37780,5823,Low
X5,2021,Africa,Silver,Petrol,Manual,3.5,2968,33869,9863,High
7 Series,2012,North America,Black,Petrol,Automatic,5.0,186776,44892,4729,Low
X1,2019,Asia,Grey,Hybrid,Manual,1.9,189270,39621,9018,High
3 Series,2016,North America,Blue,Petrol,Automatic,2.0,102663,112433,9838,High
i3,2010,Middle East,White,Petrol,Automatic,4.6,4950,106877,6133,Low
X1,2022,Africa,Grey,Hybrid,Automatic,2.0,90780,117125,3838,Low
X3,2012,Asia,Grey,Petrol,Automatic,2.0,40952,79572,1191,Low
i8,2012,Asia,Blue,Hybrid,Automatic,4.9,57940,95134,1086,Low
7 Series,2023,Africa,Silver,Electric,Automatic,3.3,174658,60801,6879,Low
M5,2020,Asia,Grey,Electric,Manual,4.1,188595,115809,1336,Low
X6,2021,Europe,Silver,Diesel,Automatic,2.0,100813,34677,465,Low
X5,2017,Middle East,Red,Petrol,Automatic,4.9,66449,85474,6249,Low
M5,2014,Europe,White,Electric,Manual,4.4,73268,98749,335,Low
M3,2023,Middle East,White,Hybrid,Automatic,4.9,60737,41839,1743,Low
7 Series,2021,Africa,White,Hybrid,Manual,4.9,31794,59761,3364,Low
3 Series,2011,South America,White,Electric,Automatic,4.4,77190,108796,8315,High
7 Series,2017,Asia,White,Hybrid,Manual,3.3,131863,61484,2081,Low
i3,2021,Middle East,Grey,Diesel,Automatic,5.0,104030,52583,1175,Low
X1,2020,Asia,Black,Diesel,Automatic,2.2,181105,80865,8029,High
X5,2019,North America,Black,Diesel,Automatic,4.8,28444,119357,9618,High
M5,2015,North America,Blue,Diesel,Automatic,3.3,168921,106511,6822,Low
i3,2018,Middle East,Grey,Electric,Manual,2.0,69275,118622,2624,Low
M3,2014,South America,Red,Diesel,Automatic,2.9,26059,55989,9499,High
M3,2015,Middle East,Grey,Electric,Manual,1.9,145968,70256,9507,High
M3,2015,Middle East,Blue,Electric,Automatic,4.2,150292,60046,8692,High
X6,2022,South America,White,Diesel,Manual,4.7,95320,38918,9412,High
3 Series,2011,Middle East,Grey,Electric,Automatic,2.8,158177,104818,9397,High
5 Series,2015,North America,Blue,Hybrid,Manual,4.8,90871,103981,8731,High
X1,2014,South America,Black,Petrol,Automatic,3.1,84276,100094,3181,Low
X3,2019,Middle East,Silver,Petrol,Manual,2.8,174521,47861,4401,Low
5 Series,2024,Asia,Red,Diesel,Manual,1.6,112745,107937,915,Low
X3,2017,Africa,Grey,Diesel,Automatic,4.1,60204,39609,2736,Low
X1,2014,Africa,Grey,Hybrid,Manual,2.8,33769,94727,2124,Low
X1,2011,Asia,White,Electric,Manual,3.1,120132,71917,9471,High
i3,2020,North America,Red,Diesel,Manual,2.9,153180,92592,9881,High
7 Series,2022,Middle East,Grey,Hybrid,Automatic,2.7,150935,95588,7362,High
3 Series,2020,South America,Black,Electric,Automatic,2.7,164678,65305,2351,Low
X6,2017,Middle East,Silver,Hybrid,Manual,4.5,33420,46221,8416,High
X5,2015,South America,Red,Electric,Manual,4.6,29102,31329,7235,High
i3,2019,Middle East,Blue,Electric,Automatic,2.6,2488,99979,4559,Low
X3,2012,Africa,Blue,Hybrid,Automatic,4.7,127668,115588,7045,High
X6,2015,Europe,White,Electric,Manual,2.2,91928,114598,5338,Low
X1,2013,Africa,Black,Diesel,Automatic,3.6,86109,37898,6479,Low
M3,2011,Middle East,Grey,Diesel,Automatic,3.9,191707,64118,9707,High
M5,2015,Asia,Black,Hybrid,Automatic,1.6,50841,37191,6173,Low
X6,2020,North America,Black,Hybrid,Automatic,2.2,109463,113574,9983,High
X3,2024,Europe,Blue,Petrol,Automatic,1.9,194749,57560,7761,High
5 Series,2010,Asia,White,Petrol,Manual,3.1,76674,55699,1271,Low
X3,2023,North America,Grey,Petrol,Automatic,2.2,163144,34259,2865,Low
3 Series,2016,Middle East,Silver,Petrol,Manual,3.8,14786,96502,506,Low
M3,2024,Africa,White,Electric,Automatic,2.6,114844,116856,9019,High
X6,2019,Middle East,Grey,Petrol,Manual,4.8,33064,118481,3324,Low
X3,2015,Africa,Red,Hybrid,Manual,4.1,118526,118409,861,Low
M3,2019,North America,White,Diesel,Manual,2.1,83737,41909,4757,Low
M3,2017,Middle East,Black,Diesel,Manual,1.8,156411,47619,3823,Low
5 Series,2016,Asia,White,Electric,Manual,3.1,2292,77165,5211,Low
i3,2013,South America,Black,Petrol,Manual,2.5,151485,111460,288,Low
3 Series,2012,Middle East,White,Electric,Manual,1.9,21265,112058,9060,High
X6,2015,Middle East,Red,Petrol,Automatic,1.6,118668,72065,9620,High
i3,2012,Middle East,Red,Hybrid,Manual,4.7,52613,53058,8326,High
i3,2019,Middle East,White,Electric,Manual,2.9,16500,94709,8200,High
3 Series,2014,Europe,Grey,Hybrid,Automatic,2.0,76367,111117,5455,Low
X1,2024,Asia,Blue,Petrol,Automatic,2.3,17391,36229,4342,Low
i3,2012,Africa,White,Electric,Manual,1.9,135027,112155,6674,Low
3 Series,2011,Asia,Blue,Hybrid,Automatic,3.2,151973,103521,856,Low
X1,2024,Middle East,Black,Diesel,Manual,3.7,66330,54984,6744,Low
5 Series,2014,Europe,Grey,Diesel,Manual,1.9,197519,38947,3314,Low
X5,2012,Asia,Red,Diesel,Manual,2.6,45257,81671,2609,Low
M5,2011,Africa,White,Hybrid,Manual,2.6,78269,94078,4695,Low
X5,2017,North America,White,Hybrid,Manual,2.9,43703,94174,7212,High
X5,2010,South America,Grey,Hybrid,Automatic,3.3,167832,30314,6489,Low
X5,2014,Middle East,White,Diesel,Automatic,3.5,97848,91232,6367,Low
3 Series,2012,Middle East,Silver,Petrol,Manual,2.6,169543,51338,5499,Low
X3,2016,South America,Silver,Hybrid,Automatic,4.7,154228,75857,9515,High
7 Series,2010,Asia,Silver,Electric,Automatic,1.7,119853,72151,3689,Low
3 Series,2024,North America,Grey,Electric,Manual,4.5,126494,83177,5401,Low
7 Series,2013,Africa,Blue,Diesel,Manual,4.8,167008,100253,7387,High
7 Series,2022,Africa,Black,Electric,Automatic,4.9,92508,45301,9553,High
3 Series,2014,North America,White,Hybrid,Automatic,4.2,93565,101997,2229,Low
i8,2019,Africa,Grey,Electric,Manual,1.6,177630,93495,1219,Low
i8,2018,North America,Grey,Diesel,Automatic,4.6,169495,43186,6649,Low
7 Series,2020,North America,Red,Electric,Automatic,3.2,122814,41531,7562,High
M5,2024,Europe,Silver,Hybrid,Manual,4.5,7991,111234,8589,High
X6,2021,Africa,Grey,Electric,Manual,1.9,149367,102366,3522,Low
X1,2022,Africa,Grey,Electric,Manual,4.5,167104,84047,1939,Low
i3,2018,North America,Red,Petrol,Automatic,2.6,156555,91109,4443,Low
X6,2020,North America,Red,Electric,Automatic,1.8,165806,44855,8104,High
X5,2021,Europe,Blue,Hybrid,Manual,3.1,181029,90327,4725,Low
X1,2021,North America,White,Diesel,Automatic,4.8,153128,101880,2991,Low
i8,2015,Asia,Grey,Petrol,Automatic,3.9,130951,66124,244,Low
X6,2012,South America,Blue,Diesel,Automatic,3.0,4492,60311,6489,Low
7 Series,2024,Europe,Red,Electric,Manual,1.6,77914,52518,6241,Low
7 Series,2018,Asia,Grey,Hybrid,Manual,3.8,27065,87085,3118,Low
M5,2012,North America,Blue,Petrol,Manual,2.2,62564,93690,8501,High
3 Series,2020,South America,Silver,Petrol,Automatic,3.7,162966,102353,6492,Low
X5,2010,North America,Blue,Petrol,Manual,2.4,42034,52404,7122,High
i3,2022,Africa,Red,Hybrid,Manual,4.3,158763,39371,8106,High
X6,2019,North America,Grey,Diesel,Manual,2.7,80391,50663,7811,High
i8,2024,Middle East,Silver,Diesel,Automatic,1.9,72592,38719,5011,Low
X3,2017,Asia,Blue,Petrol,Manual,3.3,85562,61667,5455,Low
i8,2022,Europe,Red,Electric,Manual,3.3,195672,80646,4660,Low
5 Series,2024,Europe,Blue,Diesel,Manual,2.5,109611,59119,3074,Low
X6,2013,Africa,Grey,Diesel,Manual,2.7,75903,68597,8456,High
X6,2016,Middle East,Blue,Diesel,Automatic,3.9,10284,105167,8555,High
5 Series,2023,Africa,Blue,Electric,Automatic,3.3,119040,102666,8815,High
i8,2011,North America,Black,Hybrid,Automatic,1.6,87580,75558,3479,Low
M5,2021,Asia,Silver,Hybrid,Manual,3.2,63241,34929,9169,High
3 Series,2018,Asia,Grey,Diesel,Automatic,1.7,129939,68368,1698,Low
7 Series,2017,Asia,Red,Hybrid,Manual,3.7,135127,40776,2675,Low
i3,2016,Middle East,Blue,Diesel,Automatic,3.3,197724,35433,7929,High
X3,2019,Asia,Red,Diesel,Manual,4.1,2934,73390,4145,Low
M3,2010,Europe,Red,Hybrid,Manual,4.8,90710,94422,6561,Low
M5,2012,North America,Blue,Electric,Manual,4.4,88244,112422,901,Low
X5,2019,Middle East,Red,Hybrid,Manual,2.7,148760,93236,2693,Low
X5,2019,North America,Silver,Electric,Manual,4.3,31751,65421,6387,Low
i8,2023,Africa,Blue,Petrol,Automatic,2.5,116644,39018,2303,Low
X5,2011,South America,White,Electric,Manual,3.9,111818,105245,7793,High
X5,2012,Africa,Black,Electric,Automatic,4.3,181363,113179,2658,Low
M5,2018,Middle East,Red,Petrol,Manual,1.8,196764,39609,1714,Low
3 Series,2022,Asia,White,Hybrid,Manual,4.2,116796,99354,5447,Low
i3,2018,South America,Blue,Diesel,Manual,2.7,159702,47160,976,Low
X1,2010,Asia,White,Hybrid,Automatic,3.7,133717,117951,3921,Low
M5,2020,Asia,Red,Hybrid,Automatic,4.6,62563,70006,9520,High
X3,2016,Africa,Red,Diesel,Manual,4.4,42405,101028,5533,Low
X3,2020,Africa,Black,Hybrid,Automatic,3.8,75222,116691,8021,High
5 Series,2014,Africa,Silver,Electric,Manual,3.9,148583,86162,7394,High
X1,2012,Asia,Silver,Diesel,Automatic,2.9,42499,98862,7969,High
X6,2015,Middle East,Red,Petrol,Manual,2.1,5294,111552,2555,Low
5 Series,2012,Europe,Red,Diesel,Automatic,3.8,198334,48157,2646,Low
M5,2020,South America,White,Petrol,Manual,1.5,148697,31365,7055,High
X3,2024,Asia,Silver,Diesel,Manual,4.0,26237,35025,9584,High
M5,2019,Asia,Blue,Petrol,Automatic,3.2,155077,98642,3812,Low
X6,2022,Asia,Grey,Diesel,Automatic,4.4,98343,117651,7049,High
X5,2022,Europe,Grey,Petrol,Manual,2.7,196967,70110,3978,Low
7 Series,2024,Asia,Red,Diesel,Manual,4.5,3166,110566,9213,High
X5,2013,Asia,Blue,Diesel,Automatic,2.7,197107,101008,6018,Low
X5,2013,Middle East,Blue,Electric,Automatic,1.7,100425,86590,5904,Low
X3,2020,Africa,Black,Diesel,Manual,4.7,105409,45112,5268,Low
5 Series,2019,Asia,Black,Petrol,Automatic,2.4,165813,54573,1567,Low
3 Series,2010,Europe,White,Electric,Automatic,3.0,84551,44124,7770,High
5 Series,2020,Africa,Silver,Electric,Automatic,2.5,139446,97431,9614,High
M5,2015,Asia,White,Electric,Automatic,2.8,138425,119060,266,Low
M3,2011,Middle East,Grey,Electric,Automatic,5.0,157494,104154,6677,Low
i8,2021,South America,Silver,Hybrid,Automatic,2.3,132905,66884,7098,High
i3,2012,Asia,Blue,Petrol,Automatic,3.4,93421,115938,7320,High
X5,2019,Europe,Red,Diesel,Automatic,2.3,176346,88587,8744,High
7 Series,2014,Africa,White,Electric,Automatic,1.8,53122,101433,223,Low
i8,2023,Africa,Black,Petrol,Automatic,2.2,193329,91373,1455,Low
M3,2021,Middle East,Silver,Hybrid,Manual,4.5,77330,38161,5883,Low
M3,2024,South America,White,Electric,Automatic,1.5,177486,105711,3733,Low
M5,2011,South America,Black,Diesel,Manual,4.3,75920,52852,4096,Low
X3,2018,Africa,Silver,Electric,Automatic,1.6,160862,31385,1407,Low
X1,2015,Europe,Black,Electric,Manual,4.4,117408,118444,395,Low
i3,2013,South America,Blue,Hybrid,Manual,4.7,136754,44304,8639,High
X5,2023,Middle East,Red,Electric,Manual,3.2,74194,50636,5261,Low
M5,2012,South America,Silver,Electric,Manual,2.1,198768,91790,4021,Low
X5,2013,Asia,White,Diesel,Automatic,1.6,197344,64855,9086,High
7 Series,2019,North America,Black,Hybrid,Automatic,3.4,76006,99897,9110,High
3 Series,2022,Africa,Blue,Diesel,Manual,4.6,43976,78013,1221,Low
X3,2020,South America,Blue,Electric,Automatic,3.5,188115,115467,1955,Low
3 Series,2017,Europe,Silver,Petrol,Automatic,3.2,117455,66078,3138,Low
7 Series,2019,South America,Black,Electric,Automatic,3.5,86211,50016,9851,High
M5,2011,South America,Red,Electric,Manual,2.6,167302,66233,1904,Low
3 Series,2019,Africa,Red,Electric,Manual,2.2,159689,110516,7804,High
X3,2018,Europe,Silver,Electric,Automatic,4.5,197464,82593,9673,High
X6,2023,Middle East,Black,Hybrid,Manual,3.4,74038,47825,9942,High
i8,2019,Africa,Black,Hybrid,Manual,2.1,104010,54241,208,Low
X3,2011,Africa,Silver,Diesel,Automatic,4.5,24124,84614,5799,Low
X1,2016,South America,Silver,Petrol,Manual,2.8,1649,77362,967,Low
7 Series,2017,Africa,Red,Petrol,Manual,3.9,80417,43211,4985,Low
i8,2018,North America,Silver,Electric,Manual,3.6,30999,88402,4849,Low
i3,2015,Asia,Red,Petrol,Manual,2.0,151674,42597,8934,High
M5,2013,Europe,Blue,Electric,Manual,4.6,106919,117042,4623,Low
7 Series,2014,North America,Red,Petrol,Automatic,4.8,45833,79207,3290,Low
X3,2018,Middle East,Black,Petrol,Automatic,3.3,127056,88963,2821,Low
3 Series,2012,North America,Black,Electric,Automatic,2.9,62514,109378,134,Low
3 Series,2020,Middle East,Grey,Petrol,Manual,2.1,55708,47250,1125,Low
i8,2014,Africa,White,Diesel,Manual,1.6,168859,70627,888,Low
M3,2012,Africa,Red,Electric,Automatic,4.0,53902,108041,3489,Low
M3,2021,North America,Blue,Electric,Automatic,1.5,37110,117742,9818,High
M5,2016,South America,Black,Electric,Automatic,1.5,40334,83489,1592,Low
M5,2013,Africa,Red,Hybrid,Manual,2.1,128313,31074,9047,High
7 Series,2024,Europe,Red,Hybrid,Automatic,3.8,150238,76497,6620,Low
X1,2018,Europe,Blue,Diesel,Manual,3.6,91894,116985,9144,High
3 Series,2011,Africa,Silver,Hybrid,Manual,4.0,49222,97639,694,Low
5 Series,2011,Africa,Blue,Hybrid,Automatic,1.9,38726,95689,4568,Low
M5,2011,North America,White,Electric,Automatic,3.7,33335,85717,1921,Low
3 Series,2023,Middle East,Silver,Electric,Automatic,3.8,127716,31422,9209,High
7 Series,2013,Asia,Blue,Diesel,Manual,3.7,53869,118945,7569,High
X1,2015,Europe,Silver,Hybrid,Automatic,4.8,152886,46444,8631,High
M5,2016,South America,Grey,Hybrid,Automatic,4.5,144887,31680,1551,Low
X3,2024,Asia,Grey,Diesel,Automatic,4.8,198972,105503,2601,Low
3 Series,2024,South America,Red,Electric,Manual,1.6,19501,85901,358,Low
M5,2018,North America,Red,Petrol,Automatic,4.1,113845,82951,3829,Low
i3,2013,Middle East,Grey,Petrol,Manual,4.6,121951,115306,4257,Low
3 Series,2024,Africa,White,Hybrid,Automatic,2.5,28185,31991,3958,Low
X5,2017,South America,Blue,Electric,Automatic,1.6,171005,75137,9500,High
5 Series,2021,North America,Silver,Hybrid,Manual,4.1,105727,47702,1054,Low
5 Series,2021,Asia,Blue,Hybrid,Automatic,2.5,180452,115330,2344,Low
X3,2021,Middle East,White,Diesel,Manual,2.3,167130,87588,222,Low
3 Series,2011,North America,Silver,Hybrid,Manual,2.7,9512,90906,9140,High
X5,2017,Middle East,Black,Hybrid,Automatic,2.7,198843,53309,322,Low
3 Series,2012,Middle East,Black,Electric,Manual,4.4,75519,48931,2336,Low
X3,2013,North America,Silver,Petrol,Automatic,2.3,133452,34728,9556,High
M3,2024,Africa,Silver,Petrol,Manual,3.2,28200,42588,4907,Low
X5,2019,Middle East,Grey,Hybrid,Automatic,4.3,139570,80745,9414,High
5 Series,2015,Europe,Black,Hybrid,Manual,1.7,64796,82806,7853,High
X5,2016,Africa,Blue,Electric,Automatic,4.2,74010,66553,6786,Low
7 Series,2011,South America,Red,Petrol,Automatic,2.0,132702,38256,5794,Low
X3,2010,Middle East,Silver,Electric,Manual,2.7,170140,95716,7875,High
i8,2013,Middle East,Silver,Hybrid,Automatic,3.4,149450,97301,9597,High
3 Series,2014,Africa,Grey,Hybrid,Automatic,4.0,161102,32433,6177,Low
M5,2020,North America,Grey,Electric,Manual,1.7,81122,82184,8515,High
X1,2010,Africa,Red,Diesel,Automatic,4.9,77615,43478,6509,Low
5 Series,2017,North America,Blue,Petrol,Automatic,4.0,50924,95462,6157,Low
X1,2012,Asia,White,Electric,Automatic,2.5,115202,55781,5394,Low
7 Series,2017,Middle East,Grey,Petrol,Automatic,3.3,39074,119486,5593,Low
X5,2013,Middle East,Black,Electric,Automatic,1.6,123735,95646,9324,High
X1,2015,Europe,Silver,Petrol,Automatic,2.0,69967,78227,9172,High
X5,2022,North America,White,Petrol,Manual,1.6,178775,114972,5779,Low
i3,2023,Europe,Grey,Hybrid,Manual,2.9,167734,94206,269,Low
i8,2020,Asia,White,Hybrid,Manual,2.7,111872,34401,288,Low
5 Series,2010,South America,Silver,Hybrid,Automatic,1.8,34385,38876,8750,High
M3,2012,Asia,Grey,Hybrid,Manual,2.5,116458,65187,7831,High
i3,2014,Africa,White,Petrol,Manual,2.2,183495,38493,8993,High
7 Series,2023,North America,Blue,Electric,Automatic,2.9,190681,38959,7168,High
i3,2022,Asia,Blue,Diesel,Automatic,2.7,118045,106865,8023,High
5 Series,2015,Europe,Red,Diesel,Automatic,2.2,100994,39116,1555,Low
X6,2015,Asia,Blue,Hybrid,Manual,2.2,104158,71736,5069,Low
3 Series,2021,Asia,Blue,Diesel,Manual,2.6,49838,30489,7249,High
3 Series,2014,South America,Blue,Electric,Automatic,1.5,154746,92310,7962,High
X6,2013,Asia,Black,Electric,Manual,3.3,72567,45889,546,Low
M3,2014,Africa,Grey,Petrol,Manual,4.4,61774,66326,9293,High
X6,2012,South America,Red,Diesel,Manual,4.4,139658,66994,2823,Low
