Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification,Prediction_Price_USD,Price_USD
X5,2019,North America,Black,Diesel,Automatic,4.8,28444,9618,High,74872.5144,119357
M5,2015,North America,Blue,Diesel,Automatic,3.3,168921,6822,Low,75041.99814,106511
i3,2018,Middle East,Grey,Electric,Manual,2,69275,2624,Low,74094.42683,118622
M3,2014,South America,Red,Diesel,Automatic,2.9,26059,9499,High,75168.92455,55989
M3,2015,Middle East,Grey,Electric,Manual,1.9,145968,9507,High,73914.1006,70256
M3,2015,Middle East,Blue,Electric,Automatic,4.2,150292,8692,High,75131.24737,60046
X6,2022,South America,White,Diesel,Manual,4.7,95320,9412,High,74756.4043,38918
3 Series,2011,Middle East,Grey,Electric,Automatic,2.8,158177,9397,High,73985.37588,104818
5 Series,2015,North America,Blue,Hybrid,Manual,4.8,90871,8731,High,75215.31537,103981
X1,2014,South America,Black,Petrol,Automatic,3.1,84276,3181,Low,75410.95975,100094
X3,2019,Middle East,Silver,Petrol,Manual,2.8,174521,4401,Low,74500.58136,47861
5 Series,2024,Asia,Red,Diesel,Manual,1.6,112745,915,Low,76327.67575,107937
X3,2017,Africa,Grey,Diesel,Automatic,4.1,60204,2736,Low,74568.89057,39609
X1,2014,Africa,Grey,Hybrid,Manual,2.8,33769,2124,Low,74279.35203,94727
X1,2011,Asia,White,Electric,Manual,3.1,120132,9471,High,75975.31748,71917
i3,2020,North America,Red,Diesel,Manual,2.9,153180,9881,High,74958.72157,92592
7 Series,2022,Middle East,Grey,Hybrid,Automatic,2.7,150935,7362,High,74361.85565,95588
3 Series,2020,South America,Black,Electric,Automatic,2.7,164678,2351,Low,75757.32222,65305
X6,2017,Middle East,Silver,Hybrid,Manual,4.5,33420,8416,High,73354.45647,46221
X5,2015,South America,Red,Electric,Manual,4.6,29102,7235,High,74299.08093,31329
i3,2019,Middle East,Blue,Electric,Automatic,2.6,2488,4559,Low,75543.86713,99979
X3,2012,Africa,Blue,Hybrid,Automatic,4.7,127668,7045,High,74629.55707,115588
X6,2015,Europe,White,Electric,Manual,2.2,91928,5338,Low,74905.49031,114598
X1,2013,Africa,Black,Diesel,Automatic,3.6,86109,6479,Low,75455.7898,37898
M3,2011,Middle East,Grey,Diesel,Automatic,3.9,191707,9707,High,73717.96552,64118
M5,2015,Asia,Black,Hybrid,Automatic,1.6,50841,6173,Low,74688.7166,37191
X6,2020,North America,Black,Hybrid,Automatic,2.2,109463,9983,High,74309.20465,113574
X3,2024,Europe,Blue,Petrol,Automatic,1.9,194749,7761,High,75703.39482,57560
5 Series,2010,Asia,White,Petrol,Manual,3.1,76674,1271,Low,75884.60065,55699
X3,2023,North America,Grey,Petrol,Automatic,2.2,163144,2865,Low,74894.61777,34259
3 Series,2016,Middle East,Silver,Petrol,Manual,3.8,14786,506,Low,74792.16306,96502
M3,2024,Africa,White,Electric,Automatic,2.6,114844,9019,High,76095.00796,116856
X6,2019,Middle East,Grey,Petrol,Manual,4.8,33064,3324,Low,73159.7099,118481
X3,2015,Africa,Red,Hybrid,Manual,4.1,118526,861,Low,74227.97468,118409
M3,2019,North America,White,Diesel,Manual,2.1,83737,4757,Low,75995.36809,41909
M3,2017,Middle East,Black,Diesel,Manual,1.8,156411,3823,Low,74741.56538,47619
5 Series,2016,Asia,White,Electric,Manual,3.1,2292,5211,Low,76538.4251,77165
i3,2013,South America,Black,Petrol,Manual,2.5,151485,288,Low,74565.9741,111460
3 Series,2012,Middle East,White,Electric,Manual,1.9,21265,9060,High,75017.94045,112058
X6,2015,Middle East,Red,Petrol,Automatic,1.6,118668,9620,High,73648.75826,72065
i3,2012,Middle East,Red,Hybrid,Manual,4.7,52613,8326,High,73439.16447,53058
i3,2019,Middle East,White,Electric,Manual,2.9,16500,8200,High,74970.59698,94709
3 Series,2014,Europe,Grey,Hybrid,Automatic,2,76367,5455,Low,74489.57845,111117
X1,2024,Asia,Blue,Petrol,Automatic,2.3,17391,4342,Low,77054.23794,36229
i3,2012,Africa,White,Electric,Manual,1.9,135027,6674,Low,75212.35634,112155
3 Series,2011,Asia,Blue,Hybrid,Automatic,3.2,151973,856,Low,75765.00389,103521
X1,2024,Middle East,Black,Diesel,Manual,3.7,66330,6744,Low,75313.14665,54984
5 Series,2014,Europe,Grey,Diesel,Manual,1.9,197519,3314,Low,74686.4776,38947
X5,2012,Asia,Red,Diesel,Manual,2.6,45257,2609,Low,74906.90534,81671
M5,2011,Africa,White,Hybrid,Manual,2.6,78269,4695,Low,73980.95712,94078
X5,2017,North America,White,Hybrid,Manual,2.9,43703,7212,High,74571.42136,94174
X5,2010,South America,Grey,Hybrid,Automatic,3.3,167832,6489,Low,73346.40496,30314
X5,2014,Middle East,White,Diesel,Automatic,3.5,97848,6367,Low,74604.40385,91232
3 Series,2012,Middle East,Silver,Petrol,Manual,2.6,169543,5499,Low,74493.512,51338
X3,2016,South America,Silver,Hybrid,Automatic,4.7,154228,9515,High,74531.4543,75857
7 Series,2010,Asia,Silver,Electric,Automatic,1.7,119853,3689,Low,76432.83578,72151
3 Series,2024,North America,Grey,Electric,Manual,4.5,126494,5401,Low,75184.47827,83177
7 Series,2013,Africa,Blue,Diesel,Manual,4.8,167008,7387,High,75526.88528,100253
7 Series,2022,Africa,Black,Electric,Automatic,4.9,92508,9553,High,75903.14165,45301
3 Series,2014,North America,White,Hybrid,Automatic,4.2,93565,2229,Low,75481.49893,101997
i8,2019,Africa,Grey,Electric,Manual,1.6,177630,1219,Low,74776.62234,93495
i8,2018,North America,Grey,Diesel,Automatic,4.6,169495,6649,Low,74948.2222,43186
7 Series,2020,North America,Red,Electric,Automatic,3.2,122814,7562,High,76026.37268,41531
M5,2024,Europe,Silver,Hybrid,Manual,4.5,7991,8589,High,74221.70293,111234
X6,2021,Africa,Grey,Electric,Manual,1.9,149367,3522,Low,74017.55381,102366
X1,2022,Africa,Grey,Electric,Manual,4.5,167104,1939,Low,74977.27386,84047
i3,2018,North America,Red,Petrol,Automatic,2.6,156555,4443,Low,75161.71241,91109
X6,2020,North America,Red,Electric,Automatic,1.8,165806,8104,High,74762.59339,44855
X5,2021,Europe,Blue,Hybrid,Manual,3.1,181029,4725,Low,74776.28314,90327
X1,2021,North America,White,Diesel,Automatic,4.8,153128,2991,Low,76346.96219,101880
i8,2015,Asia,Grey,Petrol,Automatic,3.9,130951,244,Low,75069.68151,66124
X6,2012,South America,Blue,Diesel,Automatic,3,4492,6489,Low,75002.31786,60311
7 Series,2024,Europe,Red,Electric,Manual,1.6,77914,6241,Low,76218.82085,52518
7 Series,2018,Asia,Grey,Hybrid,Manual,3.8,27065,3118,Low,75228.16712,87085
M5,2012,North America,Blue,Petrol,Manual,2.2,62564,8501,High,74419.58673,93690
3 Series,2020,South America,Silver,Petrol,Automatic,3.7,162966,6492,Low,75599.6492,102353
X5,2010,North America,Blue,Petrol,Manual,2.4,42034,7122,High,74603.02494,52404
i3,2022,Africa,Red,Hybrid,Manual,4.3,158763,8106,High,74288.32917,39371
X6,2019,North America,Grey,Diesel,Manual,2.7,80391,7811,High,73862.15498,50663
i8,2024,Middle East,Silver,Diesel,Automatic,1.9,72592,5011,Low,75625.45849,38719
X3,2017,Asia,Blue,Petrol,Manual,3.3,85562,5455,Low,75835.45326,61667
i8,2022,Europe,Red,Electric,Manual,3.3,195672,4660,Low,75460.20037,80646
5 Series,2024,Europe,Blue,Diesel,Manual,2.5,109611,3074,Low,76347.43299,59119
X6,2013,Africa,Grey,Diesel,Manual,2.7,75903,8456,High,73355.23869,68597
X6,2016,Middle East,Blue,Diesel,Automatic,3.9,10284,8555,High,74418.37172,105167
5 Series,2023,Africa,Blue,Electric,Automatic,3.3,119040,8815,High,76265.95699,102666
i8,2011,North America,Black,Hybrid,Automatic,1.6,87580,3479,Low,75008.84718,75558
M5,2021,Asia,Silver,Hybrid,Manual,3.2,63241,9169,High,74571.03457,34929
3 Series,2018,Asia,Grey,Diesel,Automatic,1.7,129939,1698,Low,75592.2236,68368
7 Series,2017,Asia,Red,Hybrid,Manual,3.7,135127,2675,Low,75611.66676,40776
i3,2016,Middle East,Blue,Diesel,Automatic,3.3,197724,7929,High,74832.90916,35433
X3,2019,Asia,Red,Diesel,Manual,4.1,2934,4145,Low,75611.78264,73390
M3,2010,Europe,Red,Hybrid,Manual,4.8,90710,6561,Low,74320.85028,94422
M5,2012,North America,Blue,Electric,Manual,4.4,88244,901,Low,74741.83879,112422
X5,2019,Middle East,Red,Hybrid,Manual,2.7,148760,2693,Low,73632.16893,93236
X5,2019,North America,Silver,Electric,Manual,4.3,31751,6387,Low,75107.24075,65421
i8,2023,Africa,Blue,Petrol,Automatic,2.5,116644,2303,Low,76081.05588,39018
X5,2011,South America,White,Electric,Manual,3.9,111818,7793,High,74533.97457,105245
X5,2012,Africa,Black,Electric,Automatic,4.3,181363,2658,Low,74466.48157,113179
M5,2018,Middle East,Red,Petrol,Manual,1.8,196764,1714,Low,73590.42443,39609
3 Series,2022,Asia,White,Hybrid,Manual,4.2,116796,5447,Low,75970.21406,99354
i3,2018,South America,Blue,Diesel,Manual,2.7,159702,976,Low,75472.18663,47160
X1,2010,Asia,White,Hybrid,Automatic,3.7,133717,3921,Low,75795.69164,117951
M5,2020,Asia,Red,Hybrid,Automatic,4.6,62563,9520,High,74474.33955,70006
X3,2016,Africa,Red,Diesel,Manual,4.4,42405,5533,Low,74813.83712,101028
X3,2020,Africa,Black,Hybrid,Automatic,3.8,75222,8021,High,74645.77508,116691
5 Series,2014,Africa,Silver,Electric,Manual,3.9,148583,7394,High,75162.14956,86162
X1,2012,Asia,Silver,Diesel,Automatic,2.9,42499,7969,High,76034.39023,98862
X6,2015,Middle East,Red,Petrol,Manual,2.1,5294,2555,Low,73700.86034,111552
5 Series,2012,Europe,Red,Diesel,Automatic,3.8,198334,2646,Low,75280.50117,48157
M5,2020,South America,White,Petrol,Manual,1.5,148697,7055,High,74540.10008,31365
X3,2024,Asia,Silver,Diesel,Manual,4,26237,9584,High,75849.76516,35025
M5,2019,Asia,Blue,Petrol,Automatic,3.2,155077,3812,Low,75450.29398,98642
X6,2022,Asia,Grey,Diesel,Automatic,4.4,98343,7049,High,74521.65873,117651
X5,2022,Europe,Grey,Petrol,Manual,2.7,196967,3978,Low,74012.51323,70110
7 Series,2024,Asia,Red,Diesel,Manual,4.5,3166,9213,High,76313.11022,110566
X5,2013,Asia,Blue,Diesel,Automatic,2.7,197107,6018,Low,75591.8971,101008
X5,2013,Middle East,Blue,Electric,Automatic,1.7,100425,5904,Low,74810.4299,86590
X3,2020,Africa,Black,Diesel,Manual,4.7,105409,5268,Low,74980.75972,45112
5 Series,2019,Asia,Black,Petrol,Automatic,2.4,165813,1567,Low,76103.90157,54573
3 Series,2010,Europe,White,Electric,Automatic,3,84551,7770,High,75591.62677,44124
5 Series,2020,Africa,Silver,Electric,Automatic,2.5,139446,9614,High,75813.65802,97431
M5,2015,Asia,White,Electric,Automatic,2.8,138425,266,Low,75494.47403,119060
M3,2011,Middle East,Grey,Electric,Automatic,5,157494,6677,Low,73992.0491,104154
i8,2021,South America,Silver,Hybrid,Automatic,2.3,132905,7098,High,75210.682,66884
i3,2012,Asia,Blue,Petrol,Automatic,3.4,93421,7320,High,75596.48388,115938
X5,2019,Europe,Red,Diesel,Automatic,2.3,176346,8744,High,74687.35088,88587
7 Series,2014,Africa,White,Electric,Automatic,1.8,53122,223,Low,76372.90335,101433
i8,2023,Africa,Black,Petrol,Automatic,2.2,193329,1455,Low,75517.47474,91373
M3,2021,Middle East,Silver,Hybrid,Manual,4.5,77330,5883,Low,74571.60434,38161
M3,2024,South America,White,Electric,Automatic,1.5,177486,3733,Low,76363.03593,105711
M5,2011,South America,Black,Diesel,Manual,4.3,75920,4096,Low,73979.08437,52852
X3,2018,Africa,Silver,Electric,Automatic,1.6,160862,1407,Low,75510.98368,31385
X1,2015,Europe,Black,Electric,Manual,4.4,117408,395,Low,75400.28678,118444
i3,2013,South America,Blue,Hybrid,Manual,4.7,136754,8639,High,74453.03208,44304
X5,2023,Middle East,Red,Electric,Manual,3.2,74194,5261,Low,74437.94707,50636
M5,2012,South America,Silver,Electric,Manual,2.1,198768,4021,Low,74273.24259,91790
X5,2013,Asia,White,Diesel,Automatic,1.6,197344,9086,High,75375.24057,64855
7 Series,2019,North America,Black,Hybrid,Automatic,3.4,76006,9110,High,75524.19054,99897
3 Series,2022,Africa,Blue,Diesel,Manual,4.6,43976,1221,Low,75970.16705,78013
X3,2020,South America,Blue,Electric,Automatic,3.5,188115,1955,Low,75854.97879,115467
3 Series,2017,Europe,Silver,Petrol,Automatic,3.2,117455,3138,Low,75574.0494,66078
7 Series,2019,South America,Black,Electric,Automatic,3.5,86211,9851,High,75903.73657,50016
M5,2011,South America,Red,Electric,Manual,2.6,167302,1904,Low,74004.6068,66233
3 Series,2019,Africa,Red,Electric,Manual,2.2,159689,7804,High,75154.48555,110516
X3,2018,Europe,Silver,Electric,Automatic,4.5,197464,9673,High,75190.1252,82593
X6,2023,Middle East,Black,Hybrid,Manual,3.4,74038,9942,High,73506.8845,47825
i8,2019,Africa,Black,Hybrid,Manual,2.1,104010,208,Low,74884.03954,54241
X3,2011,Africa,Silver,Diesel,Automatic,4.5,24124,5799,Low,75061.72843,84614
X1,2016,South America,Silver,Petrol,Manual,2.8,1649,967,Low,75527.8065,77362
7 Series,2017,Africa,Red,Petrol,Manual,3.9,80417,4985,Low,75357.07022,43211
i8,2018,North America,Silver,Electric,Manual,3.6,30999,4849,Low,75761.87786,88402
i3,2015,Asia,Red,Petrol,Manual,2,151674,8934,High,74954.35476,42597
M5,2013,Europe,Blue,Electric,Manual,4.6,106919,4623,Low,74651.29459,117042
7 Series,2014,North America,Red,Petrol,Automatic,4.8,45833,3290,Low,75664.7582,79207
X3,2018,Middle East,Black,Petrol,Automatic,3.3,127056,2821,Low,74565.54262,88963
3 Series,2012,North America,Black,Electric,Automatic,2.9,62514,134,Low,75615.72684,109378
3 Series,2020,Middle East,Grey,Petrol,Manual,2.1,55708,1125,Low,74273.86056,47250
i8,2014,Africa,White,Diesel,Manual,1.6,168859,888,Low,75486.05358,70627
M3,2012,Africa,Red,Electric,Automatic,4,53902,3489,Low,75212.44107,108041
M3,2021,North America,Blue,Electric,Automatic,1.5,37110,9818,High,76379.513,117742
M5,2016,South America,Black,Electric,Automatic,1.5,40334,1592,Low,74776.38293,83489
M5,2013,Africa,Red,Hybrid,Manual,2.1,128313,9047,High,73354.46271,31074
7 Series,2024,Europe,Red,Hybrid,Automatic,3.8,150238,6620,Low,75714.55125,76497
X1,2018,Europe,Blue,Diesel,Manual,3.6,91894,9144,High,75822.94413,116985
3 Series,2011,Africa,Silver,Hybrid,Manual,4,49222,694,Low,74659.02273,97639
5 Series,2011,Africa,Blue,Hybrid,Automatic,1.9,38726,4568,Low,75506.00715,95689
M5,2011,North America,White,Electric,Automatic,3.7,33335,1921,Low,74987.97972,85717
