Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification
X6,2021,Europe,Silver,Diesel,Automatic,2,100813,465,Low
X5,2017,Middle East,Red,Petrol,Automatic,4.9,66449,6249,Low
M5,2014,Europe,White,Electric,Manual,4.4,73268,335,Low
M3,2023,Middle East,White,Hybrid,Automatic,4.9,60737,1743,Low
7 Series,2021,Africa,White,Hybrid,Manual,4.9,31794,3364,Low
3 Series,2011,South America,White,Electric,Automatic,4.4,77190,8315,High
7 Series,2017,Asia,White,Hybrid,Manual,3.3,131863,2081,Low
i3,2021,Middle East,Grey,Diesel,Automatic,5,104030,1175,Low
X1,2020,Asia,Black,Diesel,Automatic,2.2,181105,8029,High
X5,2019,North America,Black,Diesel,Automatic,4.8,28444,9618,High
M5,2015,North America,Blue,Diesel,Automatic,3.3,168921,6822,Low
i3,2018,Middle East,Grey,Electric,Manual,2,69275,2624,Low
M3,2014,South America,Red,Diesel,Automatic,2.9,26059,9499,High
M3,2015,Middle East,Grey,Electric,Manual,1.9,145968,9507,High
M3,2015,Middle East,Blue,Electric,Automatic,4.2,150292,8692,High
X6,2022,South America,White,Diesel,Manual,4.7,95320,9412,High
3 Series,2011,Middle East,Grey,Electric,Automatic,2.8,158177,9397,High
5 Series,2015,North America,Blue,Hybrid,Manual,4.8,90871,8731,High
X1,2014,South America,Black,Petrol,Automatic,3.1,84276,3181,Low
X3,2019,Middle East,Silver,Petrol,Manual,2.8,174521,4401,Low
5 Series,2024,Asia,Red,Diesel,Manual,1.6,112745,915,Low
X3,2017,Africa,Grey,Diesel,Automatic,4.1,60204,2736,Low
X1,2014,Africa,Grey,Hybrid,Manual,2.8,33769,2124,Low
X1,2011,Asia,White,Electric,Manual,3.1,120132,9471,High
i3,2020,North America,Red,Diesel,Manual,2.9,153180,9881,High
7 Series,2022,Middle East,Grey,Hybrid,Automatic,2.7,150935,7362,High
3 Series,2020,South America,Black,Electric,Automatic,2.7,164678,2351,Low
X6,2017,Middle East,Silver,Hybrid,Manual,4.5,33420,8416,High
X5,2015,South America,Red,Electric,Manual,4.6,29102,7235,High
i3,2019,Middle East,Blue,Electric,Automatic,2.6,2488,4559,Low
X3,2012,Africa,Blue,Hybrid,Automatic,4.7,127668,7045,High
X6,2015,Europe,White,Electric,Manual,2.2,91928,5338,Low
X1,2013,Africa,Black,Diesel,Automatic,3.6,86109,6479,Low
M3,2011,Middle East,Grey,Diesel,Automatic,3.9,191707,9707,High
M5,2015,Asia,Black,Hybrid,Automatic,1.6,50841,6173,Low
X6,2020,North America,Black,Hybrid,Automatic,2.2,109463,9983,High
X3,2024,Europe,Blue,Petrol,Automatic,1.9,194749,7761,High
5 Series,2010,Asia,White,Petrol,Manual,3.1,76674,1271,Low
X3,2023,North America,Grey,Petrol,Automatic,2.2,163144,2865,Low
3 Series,2016,Middle East,Silver,Petrol,Manual,3.8,14786,506,Low
M3,2024,Africa,White,Electric,Automatic,2.6,114844,9019,High
X6,2019,Middle East,Grey,Petrol,Manual,4.8,33064,3324,Low
X3,2015,Africa,Red,Hybrid,Manual,4.1,118526,861,Low
M3,2019,North America,White,Diesel,Manual,2.1,83737,4757,Low
M3,2017,Middle East,Black,Diesel,Manual,1.8,156411,3823,Low
5 Series,2016,Asia,White,Electric,Manual,3.1,2292,5211,Low
i3,2013,South America,Black,Petrol,Manual,2.5,151485,288,Low
3 Series,2012,Middle East,White,Electric,Manual,1.9,21265,9060,High
X6,2015,Middle East,Red,Petrol,Automatic,1.6,118668,9620,High
i3,2012,Middle East,Red,Hybrid,Manual,4.7,52613,8326,High
i3,2019,Middle East,White,Electric,Manual,2.9,16500,8200,High
3 Series,2014,Europe,Grey,Hybrid,Automatic,2,76367,5455,Low
X1,2024,Asia,Blue,Petrol,Automatic,2.3,17391,4342,Low
i3,2012,Africa,White,Electric,Manual,1.9,135027,6674,Low
3 Series,2011,Asia,Blue,Hybrid,Automatic,3.2,151973,856,Low
X1,2024,Middle East,Black,Diesel,Manual,3.7,66330,6744,Low
5 Series,2014,Europe,Grey,Diesel,Manual,1.9,197519,3314,Low
X5,2012,Asia,Red,Diesel,Manual,2.6,45257,2609,Low
M5,2011,Africa,White,Hybrid,Manual,2.6,78269,4695,Low
X5,2017,North America,White,Hybrid,Manual,2.9,43703,7212,High
X5,2010,South America,Grey,Hybrid,Automatic,3.3,167832,6489,Low
X5,2014,Middle East,White,Diesel,Automatic,3.5,97848,6367,Low
3 Series,2012,Middle East,Silver,Petrol,Manual,2.6,169543,5499,Low
X3,2016,South America,Silver,Hybrid,Automatic,4.7,154228,9515,High
7 Series,2010,Asia,Silver,Electric,Automatic,1.7,119853,3689,Low
3 Series,2024,North America,Grey,Electric,Manual,4.5,126494,5401,Low
7 Series,2013,Africa,Blue,Diesel,Manual,4.8,167008,7387,High
7 Series,2022,Africa,Black,Electric,Automatic,4.9,92508,9553,High
3 Series,2014,North America,White,Hybrid,Automatic,4.2,93565,2229,Low
i8,2019,Africa,Grey,Electric,Manual,1.6,177630,1219,Low
i8,2018,North America,Grey,Diesel,Automatic,4.6,169495,6649,Low
7 Series,2020,North America,Red,Electric,Automatic,3.2,122814,7562,High
M5,2024,Europe,Silver,Hybrid,Manual,4.5,7991,8589,High
X6,2021,Africa,Grey,Electric,Manual,1.9,149367,3522,Low
X1,2022,Africa,Grey,Electric,Manual,4.5,167104,1939,Low
i3,2018,North America,Red,Petrol,Automatic,2.6,156555,4443,Low
X6,2020,North America,Red,Electric,Automatic,1.8,165806,8104,High
X5,2021,Europe,Blue,Hybrid,Manual,3.1,181029,4725,Low
X1,2021,North America,White,Diesel,Automatic,4.8,153128,2991,Low
i8,2015,Asia,Grey,Petrol,Automatic,3.9,130951,244,Low
X6,2012,South America,Blue,Diesel,Automatic,3,4492,6489,Low
7 Series,2024,Europe,Red,Electric,Manual,1.6,77914,6241,Low
7 Series,2018,Asia,Grey,Hybrid,Manual,3.8,27065,3118,Low
M5,2012,North America,Blue,Petrol,Manual,2.2,62564,8501,High
3 Series,2020,South America,Silver,Petrol,Automatic,3.7,162966,6492,Low
X5,2010,North America,Blue,Petrol,Manual,2.4,42034,7122,High
i3,2022,Africa,Red,Hybrid,Manual,4.3,158763,8106,High
X6,2019,North America,Grey,Diesel,Manual,2.7,80391,7811,High
i8,2024,Middle East,Silver,Diesel,Automatic,1.9,72592,5011,Low
X3,2017,Asia,Blue,Petrol,Manual,3.3,85562,5455,Low
i8,2022,Europe,Red,Electric,Manual,3.3,195672,4660,Low
5 Series,2024,Europe,Blue,Diesel,Manual,2.5,109611,3074,Low
X6,2013,Africa,Grey,Diesel,Manual,2.7,75903,8456,High
X6,2016,Middle East,Blue,Diesel,Automatic,3.9,10284,8555,High
5 Series,2023,Africa,Blue,Electric,Automatic,3.3,119040,8815,High
i8,2011,North America,Black,Hybrid,Automatic,1.6,87580,3479,Low
M5,2021,Asia,Silver,Hybrid,Manual,3.2,63241,9169,High
3 Series,2018,Asia,Grey,Diesel,Automatic,1.7,129939,1698,Low
7 Series,2017,Asia,Red,Hybrid,Manual,3.7,135127,2675,Low
i3,2016,Middle East,Blue,Diesel,Automatic,3.3,197724,7929,High
X3,2019,Asia,Red,Diesel,Manual,4.1,2934,4145,Low
M3,2010,Europe,Red,Hybrid,Manual,4.8,90710,6561,Low
M5,2012,North America,Blue,Electric,Manual,4.4,88244,901,Low
X5,2019,Middle East,Red,Hybrid,Manual,2.7,148760,2693,Low
X5,2019,North America,Silver,Electric,Manual,4.3,31751,6387,Low
i8,2023,Africa,Blue,Petrol,Automatic,2.5,116644,2303,Low
X5,2011,South America,White,Electric,Manual,3.9,111818,7793,High
X5,2012,Africa,Black,Electric,Automatic,4.3,181363,2658,Low
M5,2018,Middle East,Red,Petrol,Manual,1.8,196764,1714,Low
3 Series,2022,Asia,White,Hybrid,Manual,4.2,116796,5447,Low
i3,2018,South America,Blue,Diesel,Manual,2.7,159702,976,Low
X1,2010,Asia,White,Hybrid,Automatic,3.7,133717,3921,Low
M5,2020,Asia,Red,Hybrid,Automatic,4.6,62563,9520,High
X3,2016,Africa,Red,Diesel,Manual,4.4,42405,5533,Low
X3,2020,Africa,Black,Hybrid,Automatic,3.8,75222,8021,High
5 Series,2014,Africa,Silver,Electric,Manual,3.9,148583,7394,High
X1,2012,Asia,Silver,Diesel,Automatic,2.9,42499,7969,High
X6,2015,Middle East,Red,Petrol,Manual,2.1,5294,2555,Low
5 Series,2012,Europe,Red,Diesel,Automatic,3.8,198334,2646,Low
M5,2020,South America,White,Petrol,Manual,1.5,148697,7055,High
X3,2024,Asia,Silver,Diesel,Manual,4,26237,9584,High
M5,2019,Asia,Blue,Petrol,Automatic,3.2,155077,3812,Low
X6,2022,Asia,Grey,Diesel,Automatic,4.4,98343,7049,High
X5,2022,Europe,Grey,Petrol,Manual,2.7,196967,3978,Low
7 Series,2024,Asia,Red,Diesel,Manual,4.5,3166,9213,High
X5,2013,Asia,Blue,Diesel,Automatic,2.7,197107,6018,Low
X5,2013,Middle East,Blue,Electric,Automatic,1.7,100425,5904,Low
X3,2020,Africa,Black,Diesel,Manual,4.7,105409,5268,Low
5 Series,2019,Asia,Black,Petrol,Automatic,2.4,165813,1567,Low
3 Series,2010,Europe,White,Electric,Automatic,3,84551,7770,High
5 Series,2020,Africa,Silver,Electric,Automatic,2.5,139446,9614,High
M5,2015,Asia,White,Electric,Automatic,2.8,138425,266,Low
M3,2011,Middle East,Grey,Electric,Automatic,5,157494,6677,Low
i8,2021,South America,Silver,Hybrid,Automatic,2.3,132905,7098,High
i3,2012,Asia,Blue,Petrol,Automatic,3.4,93421,7320,High
X5,2019,Europe,Red,Diesel,Automatic,2.3,176346,8744,High
7 Series,2014,Africa,White,Electric,Automatic,1.8,53122,223,Low
i8,2023,Africa,Black,Petrol,Automatic,2.2,193329,1455,Low
M3,2021,Middle East,Silver,Hybrid,Manual,4.5,77330,5883,Low
M3,2024,South America,White,Electric,Automatic,1.5,177486,3733,Low
M5,2011,South America,Black,Diesel,Manual,4.3,75920,4096,Low
X3,2018,Africa,Silver,Electric,Automatic,1.6,160862,1407,Low
X1,2015,Europe,Black,Electric,Manual,4.4,117408,395,Low
i3,2013,South America,Blue,Hybrid,Manual,4.7,136754,8639,High
X5,2023,Middle East,Red,Electric,Manual,3.2,74194,5261,Low
M5,2012,South America,Silver,Electric,Manual,2.1,198768,4021,Low
X5,2013,Asia,White,Diesel,Automatic,1.6,197344,9086,High
7 Series,2019,North America,Black,Hybrid,Automatic,3.4,76006,9110,High
3 Series,2022,Africa,Blue,Diesel,Manual,4.6,43976,1221,Low
X3,2020,South America,Blue,Electric,Automatic,3.5,188115,1955,Low
3 Series,2017,Europe,Silver,Petrol,Automatic,3.2,117455,3138,Low
7 Series,2019,South America,Black,Electric,Automatic,3.5,86211,9851,High
M5,2011,South America,Red,Electric,Manual,2.6,167302,1904,Low
3 Series,2019,Africa,Red,Electric,Manual,2.2,159689,7804,High
X3,2018,Europe,Silver,Electric,Automatic,4.5,197464,9673,High
X6,2023,Middle East,Black,Hybrid,Manual,3.4,74038,9942,High
i8,2019,Africa,Black,Hybrid,Manual,2.1,104010,208,Low
X3,2011,Africa,Silver,Diesel,Automatic,4.5,24124,5799,Low
X1,2016,South America,Silver,Petrol,Manual,2.8,1649,967,Low
7 Series,2017,Africa,Red,Petrol,Manual,3.9,80417,4985,Low
i8,2018,North America,Silver,Electric,Manual,3.6,30999,4849,Low
i3,2015,Asia,Red,Petrol,Manual,2,151674,8934,High
M5,2013,Europe,Blue,Electric,Manual,4.6,106919,4623,Low
7 Series,2014,North America,Red,Petrol,Automatic,4.8,45833,3290,Low
X3,2018,Middle East,Black,Petrol,Automatic,3.3,127056,2821,Low
3 Series,2012,North America,Black,Electric,Automatic,2.9,62514,134,Low
3 Series,2020,Middle East,Grey,Petrol,Manual,2.1,55708,1125,Low
i8,2014,Africa,White,Diesel,Manual,1.6,168859,888,Low
M3,2012,Africa,Red,Electric,Automatic,4,53902,3489,Low
M3,2021,North America,Blue,Electric,Automatic,1.5,37110,9818,High
M5,2016,South America,Black,Electric,Automatic,1.5,40334,1592,Low
M5,2013,Africa,Red,Hybrid,Manual,2.1,128313,9047,High
7 Series,2024,Europe,Red,Hybrid,Automatic,3.8,150238,6620,Low
X1,2018,Europe,Blue,Diesel,Manual,3.6,91894,9144,High
3 Series,2011,Africa,Silver,Hybrid,Manual,4,49222,694,Low
5 Series,2011,Africa,Blue,Hybrid,Automatic,1.9,38726,4568,Low
M5,2011,North America,White,Electric,Automatic,3.7,33335,1921,Low
3 Series,2023,Middle East,Silver,Electric,Automatic,3.8,127716,9209,High
7 Series,2013,Asia,Blue,Diesel,Manual,3.7,53869,7569,High
X1,2015,Europe,Silver,Hybrid,Automatic,4.8,152886,8631,High
M5,2016,South America,Grey,Hybrid,Automatic,4.5,144887,1551,Low
X3,2024,Asia,Grey,Diesel,Automatic,4.8,198972,2601,Low
3 Series,2024,South America,Red,Electric,Manual,1.6,19501,358,Low
M5,2018,North America,Red,Petrol,Automatic,4.1,113845,3829,Low
i3,2013,Middle East,Grey,Petrol,Manual,4.6,121951,4257,Low
3 Series,2024,Africa,White,Hybrid,Automatic,2.5,28185,3958,Low
X5,2017,South America,Blue,Electric,Automatic,1.6,171005,9500,High
5 Series,2021,North America,Silver,Hybrid,Manual,4.1,105727,1054,Low
5 Series,2021,Asia,Blue,Hybrid,Automatic,2.5,180452,2344,Low
X3,2021,Middle East,White,Diesel,Manual,2.3,167130,222,Low
3 Series,2011,North America,Silver,Hybrid,Manual,2.7,9512,9140,High
X5,2017,Middle East,Black,Hybrid,Automatic,2.7,198843,322,Low
3 Series,2012,Middle East,Black,Electric,Manual,4.4,75519,2336,Low
X3,2013,North America,Silver,Petrol,Automatic,2.3,133452,9556,High
M3,2024,Africa,Silver,Petrol,Manual,3.2,28200,4907,Low
X5,2019,Middle East,Grey,Hybrid,Automatic,4.3,139570,9414,High
5 Series,2015,Europe,Black,Hybrid,Manual,1.7,64796,7853,High
X5,2016,Africa,Blue,Electric,Automatic,4.2,74010,6786,Low
7 Series,2011,South America,Red,Petrol,Automatic,2,132702,5794,Low
X3,2010,Middle East,Silver,Electric,Manual,2.7,170140,7875,High
i8,2013,Middle East,Silver,Hybrid,Automatic,3.4,149450,9597,High
3 Series,2014,Africa,Grey,Hybrid,Automatic,4,161102,6177,Low
M5,2020,North America,Grey,Electric,Manual,1.7,81122,8515,High
X1,2010,Africa,Red,Diesel,Automatic,4.9,77615,6509,Low
5 Series,2017,North America,Blue,Petrol,Automatic,4,50924,6157,Low
X1,2012,Asia,White,Electric,Automatic,2.5,115202,5394,Low
7 Series,2017,Middle East,Grey,Petrol,Automatic,3.3,39074,5593,Low
X5,2013,Middle East,Black,Electric,Automatic,1.6,123735,9324,High
X1,2015,Europe,Silver,Petrol,Automatic,2,69967,9172,High
X5,2022,North America,White,Petrol,Manual,1.6,178775,5779,Low
i3,2023,Europe,Grey,Hybrid,Manual,2.9,167734,269,Low
i8,2020,Asia,White,Hybrid,Manual,2.7,111872,288,Low
5 Series,2010,South America,Silver,Hybrid,Automatic,1.8,34385,8750,High
M3,2012,Asia,Grey,Hybrid,Manual,2.5,116458,7831,High
i3,2014,Africa,White,Petrol,Manual,2.2,183495,8993,High
7 Series,2023,North America,Blue,Electric,Automatic,2.9,190681,7168,High
i3,2022,Asia,Blue,Diesel,Automatic,2.7,118045,8023,High
5 Series,2015,Europe,Red,Diesel,Automatic,2.2,100994,1555,Low
X6,2015,Asia,Blue,Hybrid,Manual,2.2,104158,5069,Low
3 Series,2021,Asia,Blue,Diesel,Manual,2.6,49838,7249,High
3 Series,2014,South America,Blue,Electric,Automatic,1.5,154746,7962,High
X6,2013,Asia,Black,Electric,Manual,3.3,72567,546,Low
M3,2014,Africa,Grey,Petrol,Manual,4.4,61774,9293,High
X6,2012,South America,Red,Diesel,Manual,4.4,139658,2823,Low
X6,2019,Asia,Black,Diesel,Manual,4.7,175653,7973,High
X3,2015,Middle East,Blue,Diesel,Manual,3.3,184001,2362,Low
3 Series,2024,Asia,Black,Petrol,Automatic,4.3,191913,8178,High
M3,2020,Asia,Red,Hybrid,Automatic,3.7,149544,4669,Low
3 Series,2015,Africa,Blue,Hybrid,Automatic,2.2,114333,8597,High
5 Series,2023,South America,Black,Hybrid,Automatic,3.3,177705,9174,High
7 Series,2019,Africa,Blue,Diesel,Automatic,5,5386,6491,Low
X6,2015,Asia,Silver,Petrol,Automatic,3.9,126284,9804,High
7 Series,2023,Europe,Red,Electric,Automatic,3.5,127033,3785,Low
5 Series,2010,Europe,Blue,Hybrid,Automatic,4.6,196648,5233,Low
i8,2017,Africa,Red,Diesel,Automatic,3.6,192269,357,Low
M3,2020,Asia,Grey,Diesel,Manual,2.6,143993,8027,High
M5,2010,Asia,Silver,Hybrid,Automatic,2.5,62672,8639,High
X1,2011,South America,Silver,Diesel,Manual,3.3,151953,7211,High
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,148,Low
M5,2017,Asia,White,Diesel,Manual,4.1,195222,1242,Low
3 Series,2021,South America,White,Electric,Manual,3.1,124073,4151,Low
X6,2022,Middle East,Black,Diesel,Automatic,2.8,85904,102,Low
3 Series,2016,Africa,Grey,Hybrid,Automatic,4.5,34056,8004,High
X5,2015,North America,Grey,Diesel,Manual,2,30859,185,Low
X6,2024,Middle East,Black,Petrol,Automatic,4.5,144781,7285,High
X3,2012,South America,Grey,Diesel,Manual,3,30083,3992,Low
X5,2019,Africa,White,Hybrid,Automatic,4.7,141590,5193,Low
M3,2020,North America,Red,Petrol,Automatic,3.7,87631,2585,Low
X1,2016,North America,Grey,Petrol,Manual,4.5,39269,2619,Low
i3,2012,Africa,Grey,Electric,Manual,4,18773,5858,Low
X5,2015,Africa,Silver,Petrol,Manual,3.2,87849,8919,High
M5,2022,Africa,Blue,Petrol,Automatic,3.8,88107,4921,Low
5 Series,2024,Africa,Silver,Petrol,Automatic,1.5,58174,6305,Low
M3,2011,Asia,Blue,Petrol,Manual,4.4,114088,9324,High
3 Series,2024,Europe,Grey,Hybrid,Automatic,3.5,179808,6634,Low
